ID en el IDAE;Nombre del vehículo;Segmento comercial;Motorizacion;Cilindrada;Tipo de cambio;MTMA;Potencia en CV;Potencia termica;Potencia Electrica;Autonomia Electrica;Consumo NEDC;Consumo WLTP;Emisiones NEDC;Emisiones WLTP;Dimensiones (largo x ancho x alto);Nº de plazas maximas;Clasificacion por consumo relativo
540117;Abarth 595 ABARTH 595 1.4 16v T-JET 107 KW X145 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.045;145 cv;107 kw;0 kw;0 kms;6,65;7,30;152 g CO2/km;164 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540122;Abarth 595 ABARTH 595 COMPETIZIONE 1.4 16v T-JET 132 KW X180 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;179 cv;132 kw;0 kw;0 kms;6,75;7,75;154 g CO2/km;172 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540123;Abarth 595 ABARTH 595 ESSEESSE 1.4 16v T-JET 132 KW X180 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;179 cv;132 kw;0 kw;0 kms;6,75;7,75;154 g CO2/km;172 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540119;Abarth 595 ABARTH 595 MONSTER ENERGY YAMAHA 1.4 16v T-JET 121 kW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;164 cv;121 kw;0 kw;0 kms;6,65;7,45;152 g CO2/km;167 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540118;Abarth 595 ABARTH 595 PISTA 1.4 16v T-JET 121 kW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;164 cv;121 kw;0 kw;0 kms;6,65;7,45;152 g CO2/km;167 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540121;Abarth 595 ABARTH 595 SCORPIONEORO 1.4 16v T-JET 121 kW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;164 cv;121 kw;0 kw;0 kms;6,65;7,30;151 g CO2/km;164 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540120;Abarth 595 ABARTH 595 TURISMO 1.4 16v T-JET 121 kW X165 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.065;164 cv;121 kw;0 kw;0 kms;6,65;7,30;151 g CO2/km;164 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540124;Abarth 595 ABARTH 595C 1.4 16v T-JET 107 KW X145 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.075;145 cv;107 kw;0 kw;0 kms;6,65;7,40;153 g CO2/km;166 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540129;Abarth 595 ABARTH 595C COMPETIZIONE 1.4 16v T-JET 132 KW X180 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.090;179 cv;132 kw;0 kw;0 kms;6,75;7,75;154 g CO2/km;172 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
540130;Abarth 595 ABARTH 595C ESSEESSE 1.4 16v T-JET 132 KW X180 CVX E6D;Minis;Gasolina;1.368 cm3;M;1.090;179 cv;132 kw;0 kw;0 kms;6,75;7,75;154 g CO2/km;172 g CO2/km;3.660 x 1.627 x 1.485 mm;4;G
